Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,94.040001,106.970001,84.239998,106.190002,106.190002,1138187300
2021-08-01,105.930000,122.489998,101.980003,110.720001,110.720001,1998312900
2021-09-01,111.300003,111.849998,99.510002,102.900002,102.900002,867104200
2021-10-01,102.599998,128.080002,99.820000,120.230003,120.230003,930236100
2021-11-01,119.449997,164.460007,118.129997,158.369995,158.369995,1373609400
2021-12-01,160.369995,160.880005,130.600006,143.899994,143.899994,1175493900
2022-01-01,145.139999,152.419998,99.349998,114.250000,114.250000,1638612600
2022-02-01,116.750000,132.960007,104.260002,123.339996,123.339996,2293656000
2022-03-01,122.330002,125.669998,100.080002,109.339996,109.339996,2460278900
2022-04-01,110.480003,111.419998,84.019997,85.519997,85.519997,1719017900
2022-05-01,85.660004,104.550003,83.269997,101.860001,101.860001,2898334400
2022-06-01,102.129997,109.570000,79.430000,81.570000,81.570000,1287482000
2022-06-17,82.190002,82.940002,79.430000,81.570000,81.570000,104876204
