Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,75.389999,77.339996,75.349998,76.769997,76.769997,64966900
2022-09-20,76.080002,76.580002,74.730003,75.250000,75.250000,51129100
2022-09-21,75.440002,78.410004,74.449997,74.480003,74.480003,82069700
2022-09-22,73.889999,74.290001,69.169998,69.500000,69.500000,101436900
